headword,CEFR,level_num
a,A1,1
a.m./A.M./am/AM,A1,1
abandon,B1,3
abandoned,B2,4
ability,A2,2
able,B1,3
abnormal,B1,3
abnormally,B2,4
aboard,B1,3
abolish,B2,4
aboriginal,B2,4
aborigine,B1,3
about,A1,1
about,A1,1
above,B1,3
above,A1,1
above,A1,1
abroad,A2,2
abruptly,B2,4
absence,B1,3
absent,B1,3
absentee,B2,4
absolute,B1,3
absolutely,B1,3
absorb,B1,3
abstract,B1,3
absurd,B2,4
abundance,B1,3
abundant,B1,3
abuse,B2,4
academic,B1,3
academy,B1,3
accent,B1,3
accept,A2,2
acceptable,A2,2
acceptance,B1,3
access,B1,3
access,B2,4
accessibility,B2,4
accessible,B1,3
accessory,B1,3
accident,A2,2
accidental,B1,3
accidentally,B1,3
accommodation,B2,4
accompany,B1,3
accomplish,B1,3
according to,B1,3
accordingly,B2,4
account,A2,2
account,B1,3
accountant,B1,3
accumulate,B2,4
accuracy,B1,3
accurate,B1,3
accurately,B1,3
accusation,B2,4
accuse,B1,3
accustom,B1,3
ache,B1,3
ache,B2,4
achievable,B2,4
achieve,A2,2
achievement,B1,3
acid,B2,4
acknowledge,B1,3
acknowledgment/acknowledgement,B1,3
acquaintance,B1,3
acquire,B1,3
acquisition,B2,4
across,A2,2
across,A2,2
act,A2,2
act,B1,3
action,A1,1
active,B1,3
actively,B2,4
activity,A1,1
actor,A1,1
actress,B1,3
actual,B2,4
actually,A2,2
acute,B2,4
ad,B1,3
adapt,B1,3
adaptable,B2,4
add,A1,1
addict,B2,4
addicted,B2,4
addiction,B2,4
addition,A2,2
additional,A2,2
additionally,B2,4
address,A1,1
address,B1,3
addressee,B1,3
adequate,B2,4
adequately,B2,4
adjective,A2,2
adjust,A2,2
adjustment,B2,4
administration,B1,3
administrative,B2,4
admirable,B2,4
admiration,B1,3
admire,A2,2
admiringly,B2,4
admission,B1,3
admit,A2,2
admittedly,B2,4
adopt,B1,3
adopted,B2,4
adoption,B2,4
adorable,B1,3
adore,B2,4
adorn,B2,4
adult,A2,2
adult,A2,2
advance,B2,4
advance,B1,3
advanced,A2,2
advancement,B2,4
advantage,A2,2
advent,B2,4
adventure,A2,2
adventurous,B2,4
adverb,B1,3
adverbial,B1,3
adverse,B2,4
adversely,B2,4
adversity,B2,4
advert,B1,3
advertise,B1,3
advertisement,A2,2
advertising,A2,2
advice,A2,2
advise,A2,2
adviser/advisor,B1,3
aerobics,B1,3
affair,A2,2
affect,B1,3
affection,B1,3
affectionate,B2,4
affectionately,B2,4
afford,B1,3
affordable,B2,4
afraid,A1,1
after,A2,2
after,B1,3
after,A1,1
afternoon,A1,1
afterward,B1,3
afterwards,B1,3
again,A1,1
against,A2,2
age,A1,1
